lessonId,title,gradingMode,needsAnswerKey,notes
"L01","OESD vs Half-Pot","OBJECTIVE_SINGLE","yes","Set expectedAction or expectedOptionKey before seeding."
"L02","Flush Draw vs Pot Bet","OBJECTIVE_SINGLE","yes","Set expectedAction or expectedOptionKey before seeding."
"L03","Combo Draw vs All-In","OBJECTIVE_SINGLE","yes","Set expectedAction or expectedOptionKey before seeding."
"L04","Top Pair vs Pot Bet","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
"L05","Two Overcards vs Min Bet","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
"L06","KK SB vs BB","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
"L07","88 vs Two All-Ins","OBJECTIVE_SINGLE","yes","Set expectedAction or expectedOptionKey before seeding."
"L08","AK vs Two All-Ins","OBJECTIVE_SINGLE","yes","Set expectedAction or expectedOptionKey before seeding."
"L09","AK vs Two Limpers","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
"L10","AA UTG 9-Handed","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
"L11","A7s UTG Tournament","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
"L12","Low Flush vs Double All-In","OBJECTIVE_SINGLE","yes","Set expectedAction or expectedOptionKey before seeding."
"L13","Middle Pair vs Half-Pot Turn","OBJECTIVE_SINGLE","yes","Set expectedAction or expectedOptionKey before seeding."
"L14","Two Pair on Flush Board","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
"L15","22 Chip Leader vs Raise","RUBRIC_SUBJECTIVE","rubric","Define rubric bands and accepted reasoning before seeding."
